Date,PondID,CH4_bub_flux,Water.Temperature_Surface,Water.Temperature_Bottom,RDO.Concentration_Surface,RDO.Concentration_Bottom
03/05/2021,RH1,0.699496051,12.47493,8.248056,12.21279,0.02
17/05/2021,RH1,1.270749941,13.60515,9.216447,11.27237,0.1
31/05/2021,RH1,1.611517768,18.82228,10.78232,10.55004,0.23
14/06/2021,RH1,1.412341146,20.5834,14.3489,9.423921,2.67
28/06/2021,RH1,5.420581006,19.3532,15.68429,9.017833,0.39
12/07/2021,RH1,6.78158163,20.7,14.4,8.37,0.08
26/07/2021,RH1,10.26677896,21.61149,16.55284,8.996148,0
11/08/2021,RH1,12.26664983,18.32,17.17414,6.97403,0.09
24/08/2021,RH1,18.83440921,17.58348,16.20783,8.685931,0.11
08/09/2021,RH1,13.48638908,17.02144,15.79182,8.983483,1.57
20/09/2021,RH1,13.40881616,14.55649,14.63267,5.619548,2.75
07/10/2021,RH1,4.045114476,12.58858,12.70004,7.040278,0.81
21/10/2021,RH1,1.537514788,11.52299,10.03176,8.800803,5.02
04/11/2021,RH1,0.647776247,8.242042,8.131585,7.286631,6.93
03/05/2021,RH2,0.851888027,12.71238,9.594141,12.68123,5.34
17/05/2021,RH2,2.449615933,13.05231,11.54258,10.3559,6.77
31/05/2021,RH2,3.061393532,17.91003,11.5072,8.784323,8.37
14/06/2021,RH2,5.739069852,22.47392,14.49424,8.904759,0.34
28/06/2021,RH2,4.143199989,18.40081,16.28246,6.605037,0.62
12/07/2021,RH2,2.869404385,20.1,14.4,6.61,2.71
26/07/2021,RH2,1.873091841,20.69548,16.16924,7.498326,1.79
11/08/2021,RH2,1.66588689,17.22457,15.75227,7.035086,0.7
24/08/2021,RH2,1.709081863,16.79176,14.22093,8.733084,2.69
08/09/2021,RH2,0.96945921,15.55841,13.84996,10.87066,4.26
20/09/2021,RH2,1.979461218,13.19745,13.39178,7.464184,1.1
07/10/2021,RH2,0.812054557,11.15035,11.60145,8.853816,1.5
21/10/2021,RH2,0.315763165,10.58141,9.692971,11.2893,0.4
04/11/2021,RH2,0.289879703,6.960154,7.600199,11.84129,1.49
