Date,PondID,Sample_type,CO2_tot,fCO2,CH4_tot,fCH4,N2O_tot,fN2O,Water.Temperature_Surface,Water.Temperature_Bottom,RDO.Concentration_Surface,RDO.Concentration_Bottom,Air_temp
04/11/2021,RH2,Surface,814.259486,115.0701222,3.636440726,0.792384126,0.496151521,0.023436931,6.960154,7.600199,11.84129,1.49,5.1
04/11/2021,RH2,Bottom,9904.912593,NA,1.999809866,NA,13.78331289,NA,6.960154,7.600199,11.84129,1.49,5.1
07/10/2021,RH2,Surface,1568.725067,336.9979153,14.21012921,3.680455732,0.457106386,0.025241896,11.15035,11.60145,8.853816,1.5,9.6
07/10/2021,RH2,Bottom,5373.118398,NA,11.03935437,NA,5.427304953,NA,11.15035,11.60145,8.853816,1.5,9.6
20/09/2021,RH2,Surface,1884.029736,466.866057,22.82018494,6.387148306,0.391212626,0.019899187,13.19745,13.39178,7.464184,1.1,10.5
20/09/2021,RH2,Bottom,11236.96925,NA,7.36423431,NA,22.70909551,NA,13.19745,13.39178,7.464184,1.1,10.5
07/10/2021,RH1,Bottom,1420.152266,NA,9.603398855,NA,0.198725786,NA,12.58858,12.70004,7.040278,0.81,9.6
07/10/2021,RH1,Surface,1444.272973,320.9102241,7.780383163,2.121177548,0.165283246,-0.058873578,12.58858,12.70004,7.040278,0.81,9.6
20/09/2021,RH1,Bottom,420.90351,NA,1.218951429,NA,0.219954131,NA,14.55649,14.63267,5.619548,2.75,10.5
20/09/2021,RH1,Surface,2030.174299,531.5377195,34.66069803,10.19530051,0.128852656,-0.057819577,14.55649,14.63267,5.619548,2.75,10.5
04/11/2021,RH6,Bottom,4587.325632,NA,1194.875267,NA,0.102965246,NA,7.257036,7.332432,1.081306,0,5.1
04/11/2021,RH6,Surface,3765.254562,764.2522119,189.8495552,42.41376599,0.115015847,-0.066669516,7.257036,7.332432,1.081306,0,5.1
20/09/2021,RH5,Bottom,718.1802831,NA,29.23813193,NA,0.164675753,NA,13.68106,13.68749,9.57456,8.69,10.5
20/09/2021,RH5,Surface,682.8091907,138.9032252,14.99528921,4.267962312,0.161395436,-0.042000433,13.68106,13.68749,9.57456,8.69,10.5
07/10/2021,RH3,Bottom,2418.353628,NA,27.12279618,NA,0.232241706,NA,11.09097,11.06561,5.593974,5.48,9.6
07/10/2021,RH3,Surface,2518.633738,588.1660399,17.8091042,4.605331325,0.185377408,-0.040719715,11.09097,11.06561,5.593974,5.48,9.6
20/09/2021,RH6,Bottom,9424.301971,NA,3999.896578,NA,0.051797771,NA,12.96276,12.91844,2.58816,0,10.5
20/09/2021,RH6,Surface,3339.323269,872.4278312,159.8653136,44.43087698,0.106519405,-0.066163404,12.96276,12.91844,2.58816,0,10.5
04/11/2021,RH5,Surface,547.8224744,59.99275582,2.288524178,0.511072213,0.304287871,-0.019153165,7.769313,7.687496,9.735058,9.6,5.1
04/11/2021,RH5,Bottom,616.4102096,NA,2.608353186,NA,0.30726491,NA,7.769313,7.687496,9.735058,9.6,5.1
04/11/2021,RH4,Bottom,3205.579177,NA,29.00500831,NA,0.163739193,NA,6.912383,6.830067,3.611952,0.76,5.1
04/11/2021,RH4,Surface,3138.959091,630.7243694,14.3810963,3.15912047,0.170983861,-0.049424473,6.912383,6.830067,3.611952,0.76,5.1
20/09/2021,RH3,Bottom,3998.445961,NA,573.3192659,NA,0.187908781,NA,13.45411,13.3703,4.282473,3.22,10.5
20/09/2021,RH3,Surface,2419.249286,620.0715142,56.00494016,15.83739943,0.115474744,-0.065200989,13.45411,13.3703,4.282473,3.22,10.5
04/11/2021,RH1,Surface,1221.196703,195.7579179,3.035185079,0.692912463,0.201607572,-0.054590471,8.242042,8.131585,7.286631,6.93,5.1
04/11/2021,RH1,Bottom,1551.392381,NA,15.20239175,NA,0.242779993,NA,8.242042,8.131585,7.286631,6.93,5.1
04/11/2021,RH3,Bottom,2115.665207,NA,18.42917308,NA,0.349121777,NA,6.698827,6.574561,7.239755,6.82,5.1
04/11/2021,RH3,Surface,2197.830378,414.9584311,4.796962051,1.037049597,0.270759932,-0.028305344,6.698827,6.574561,7.239755,6.82,5.1
20/09/2021,RH4,Surface,3936.614162,1055.259119,107.5846207,30.39156505,0.111664101,-0.060063253,13.41527,13.15984,1.442211,0.9,10.5
20/09/2021,RH4,Bottom,3766.295004,NA,468.2603072,NA,0.083097951,NA,13.41527,13.15984,1.442211,0.9,10.5
07/10/2021,RH6,Surface,3262.262391,806.0242522,230.7426166,60.94083273,0.113060382,-0.066816207,11.58697,11.31851,3.23884,0.44,9.6
07/10/2021,RH6,Bottom,7509.416414,NA,2721.656846,NA,0.092659363,NA,11.58697,11.31851,3.23884,0.44,9.6
27/04/2021,RH3,Surface,531.68081,47.27739148,12.06195233,2.802773268,0.439473833,-0.029178475,8.350742,7.997828,11.43017,10.83,4
27/04/2021,RH3,Bottom,749.6142734,NA,14.16122006,NA,0.44036495,NA,8.350742,7.997828,11.43017,10.83,4
07/10/2021,RH4,Surface,3294.555859,804.687977,56.648108,14.85259913,0.097372939,-0.066651177,11.40951,11.04486,2.629104,1.81,9.6
07/10/2021,RH4,Bottom,3139.320571,NA,47.09777577,NA,0.184980188,NA,11.40951,11.04486,2.629104,1.81,9.6
07/10/2021,RH5,Surface,513.2672795,77.02060634,4.844410292,1.305415981,0.2135032,-0.038205027,12.34284,11.72581,9.973499,9.22,9.6
07/10/2021,RH5,Bottom,818.6709769,NA,4.846112549,NA,0.287579098,NA,12.34284,11.72581,9.973499,9.22,9.6
27/04/2021,RH4,Bottom,1972.372646,NA,23.6135695,NA,0.170649671,NA,7.512576,6.880989,6.712206,4.53,4
27/04/2021,RH4,Surface,2641.771201,505.4497734,10.72343672,2.407995221,0.34471701,-0.063526006,7.512576,6.880989,6.712206,4.53,4
21/10/2021,RH2,Surface,587.5492042,83.28362318,2.449332605,0.611409022,0.304072828,-0.010610213,10.58141,9.692971,11.2893,0.4,8.5
21/10/2021,RH2,Bottom,10371.32253,NA,1.56194086,NA,17.96103939,NA,10.58141,9.692971,11.2893,0.4,8.5
11/08/2021,RH1,Surface,1027.107735,249.9558309,2.037975199,0.66784331,0.21478634,-0.050307887,18.32,17.17414,6.97403,0.09,15.4
11/08/2021,RH1,Bottom,19292.25272,NA,2868.667275,NA,0.116314934,NA,18.32,17.17414,6.97403,0.09,15.4
21/10/2021,RH5,Bottom,1258.960099,NA,6.768163198,NA,0.284390663,NA,11.19436,10.01276,9.33683,7.84,8.5
21/10/2021,RH5,Surface,547.309149,81.66764928,1.433649892,0.362360748,0.241858709,-0.022398248,11.19436,10.01276,9.33683,7.84,8.5
08/09/2021,RH1,Bottom,2093.158648,NA,59.23552664,NA,0.27511096,NA,17.02144,15.79182,8.983483,1.57,17.9
08/09/2021,RH1,Surface,701.1506462,155.1659682,47.53942876,15.23844357,0.148350936,-0.050101225,17.02144,15.79182,8.983483,1.57,17.9
08/09/2021,RH6,Surface,1312.078419,325.0162904,6.410317227,1.869594762,0.173931436,-0.040214433,14.47413,13.22481,5.712776,0,17.9
