,PondID,Date,Sample_type,Period_1,LandUse,CO2_tot,fCO2,CH4_tot,fCH4,N2O_tot,fN2O,Water.Temperature_Surface,Water.Temperature_Bottom,RDO.Concentration_Surface,RDO.Concentration_Bottom
1,RH1,03/05/2021,Bottom,Spring,M,4036.767706,NA,68.58267129,NA,0.000982527,NA,12.47493,8.248056,12.21279,0.02
2,RH1,03/05/2021,Surface,Spring,M,24.47238953,-171.2333307,4.558298129,4.349510358,0.189982544,-0.081433788,12.47493,8.248056,12.21279,0.02
3,RH1,17/05/2021,Bottom,Spring,M,3767.076058,NA,283.7205517,NA,0.071307767,NA,13.60515,9.216447,11.27237,0.1
4,RH1,17/05/2021,Surface,Spring,M,163.6043021,-80.40567912,8.731331615,7.095790255,0.216027783,-0.097409044,13.60515,9.216447,11.27237,0.1
5,RH1,31/05/2021,Surface,Spring,M,52.91178955,-151.7600225,9.203937425,9.516594148,0.258841467,-0.039834683,18.82228,10.78232,10.55004,0.23
6,RH1,31/05/2021,Bottom,Spring,M,5472.682179,NA,683.9047831,NA,0.116552488,NA,18.82228,10.78232,10.55004,0.23
7,RH1,14/06/2021,Bottom,Summer,M,8660.457437,NA,944.396314,NA,-0.008916037,NA,20.5834,14.3489,9.423921,2.67
8,RH1,14/06/2021,Surface,Summer,M,143.575775,-3.01229145,3.775552918,5.488475329,0.135945346,-0.196666649,20.5834,14.3489,9.423921,2.67
9,RH1,28/06/2021,Bottom,Summer,M,19787.31808,NA,3992.029182,NA,0.032700075,NA,19.3532,15.68429,9.017833,0.39
10,RH1,28/06/2021,Surface,Summer,M,56.76780756,-141.5904424,7.257364534,7.040218775,0.118994113,-0.134083673,19.3532,15.68429,9.017833,0.39
11,RH1,12/07/2021,Bottom,Summer,M,35016.4219,NA,7225.611324,NA,0.052773037,NA,20.7,14.4,8.37,0.08
12,RH1,12/07/2021,Surface,Summer,M,111.6211251,-84.90890824,6.246222551,7.91875866,0.17080782,-0.304676427,20.7,14.4,8.37,0.08
13,RH1,26/07/2021,Bottom,Summer,M,37587.01214,NA,6847.535006,NA,0.09748272,NA,21.61149,16.55284,8.996148,0
14,RH1,26/07/2021,Surface,Summer,M,158.3833043,-87.24194879,2.78558968,3.285475732,0.231574517,-0.139347566,21.61149,16.55284,8.996148,0
15,RH1,11/08/2021,Surface,Summer,M,1027.107735,717.1564823,2.037975199,1.916131171,0.21478634,-0.14434001,18.32,17.17414,6.97403,0.09
16,RH1,11/08/2021,Bottom,Summer,M,19292.25272,NA,2868.667275,NA,0.116314934,NA,18.32,17.17414,6.97403,0.09
17,RH1,24/08/2021,Surface,Summer,M,1032.624487,702.4106592,3.664521616,3.046096179,0.187070498,-0.076489305,17.58348,16.20783,8.685931,0.11
18,RH1,24/08/2021,Bottom,Summer,M,8245.939469,NA,812.7009242,NA,0.091704324,NA,17.58348,16.20783,8.685931,0.11
19,RH1,08/09/2021,Bottom,Autumn,M,2093.158648,NA,59.23552664,NA,0.27511096,NA,17.02144,15.79182,8.983483,1.57
20,RH1,08/09/2021,Surface,Autumn,M,701.1506462,417.3596665,47.53942876,40.98780035,0.148350936,-0.134760418,17.02144,15.79182,8.983483,1.57
21,RH1,20/09/2021,Bottom,Autumn,M,420.90351,NA,1.218951429,NA,0.219954131,NA,14.55649,14.63267,5.619548,2.75
22,RH1,20/09/2021,Surface,Autumn,M,2030.174299,1270.807309,34.66069803,24.37505737,0.128852656,-0.138235798,14.55649,14.63267,5.619548,2.75
23,RH1,07/10/2021,Bottom,Autumn,M,1420.152266,NA,9.603398855,NA,0.198725786,NA,12.58858,12.70004,7.040278,0.81
24,RH1,07/10/2021,Surface,Autumn,M,1444.272973,843.9852046,7.780383163,5.578639546,0.165283246,-0.154835916,12.58858,12.70004,7.040278,0.81
25,RH1,21/10/2021,Bottom,Autumn,M,1895.967864,NA,41.02835914,NA,0.191651741,NA,11.52299,10.03176,8.800803,5.02
26,RH1,21/10/2021,Surface,Autumn,M,739.343496,544.5293451,3.530917473,3.842609296,0.212789457,-0.132443561,11.52299,10.03176,8.800803,5.02
27,RH1,04/11/2021,Surface,Autumn,M,1221.196703,561.6554703,3.035185079,1.9880579,0.201607572,-0.156627313,8.242042,8.131585,7.286631,6.93
28,RH1,04/11/2021,Bottom,Autumn,M,1551.392381,NA,15.20239175,NA,0.242779993,NA,8.242042,8.131585,7.286631,6.93
29,RH2,03/05/2021,Bottom,Spring,M,2815.865926,NA,6.160757086,NA,2.436221357,NA,12.71238,9.594141,12.68123,5.34
30,RH2,03/05/2021,Surface,Spring,M,261.486398,39.18569283,6.821840811,5.387378262,0.290795087,0.043360762,12.71238,9.594141,12.68123,5.34
31,RH2,17/05/2021,Bottom,Spring,M,12512.66159,NA,17.93452179,NA,7.311701362,NA,13.05231,11.54258,10.3559,6.77
32,RH2,17/05/2021,Surface,Spring,M,607.8470413,256.6729956,37.25573385,25.46021966,0.330264165,0.006762306,13.05231,11.54258,10.3559,6.77
33,RH2,31/05/2021,Bottom,Spring,M,13146.254,NA,7.967632796,NA,50.28801952,NA,17.91003,11.5072,8.784323,8.37
34,RH2,31/05/2021,Surface,Spring,M,1441.233461,1085.341961,29.57140572,25.08732812,0.385169681,0.092694362,17.91003,11.5072,8.784323,8.37
35,RH2,14/06/2021,Bottom,Summer,M,7587.177357,NA,176.2951633,NA,8.980296264,NA,22.47392,14.49424,8.904759,0.34
36,RH2,14/06/2021,Surface,Summer,M,767.8794022,737.1327768,29.59134241,36.54908243,0.345632144,0.138463152,22.47392,14.49424,8.904759,0.34
37,RH2,28/06/2021,Surface,Summer,M,1852.883704,1394.236395,35.61226643,28.851381,0.571023828,0.245669983,18.40081,16.28246,6.605037,0.62
38,RH2,28/06/2021,Bottom,Summer,M,2957.187759,NA,74.10832227,NA,1.619776188,NA,18.40081,16.28246,6.605037,0.62
39,RH2,12/07/2021,Bottom,Summer,M,12801.89346,NA,31.19385639,NA,11.00207285,NA,20.1,14.4,6.61,2.71
40,RH2,12/07/2021,Surface,Summer,M,1607.180581,1438.303228,23.59487553,24.0966119,0.263412583,-0.08685408,20.1,14.4,6.61,2.71
41,RH2,26/07/2021,Bottom,Summer,M,15316.18829,NA,5.266690591,NA,6.203251557,NA,20.69548,16.16924,7.498326,1.79
42,RH2,26/07/2021,Surface,Summer,M,809.988052,554.3332543,10.8784455,10.39485094,0.262943473,-0.084240133,20.69548,16.16924,7.498326,1.79
43,RH2,11/08/2021,Surface,Summer,M,1573.416451,1044.824357,20.03066885,15.83967828,0.284166108,-0.0905371,17.22457,15.75227,7.035086,0.7
44,RH2,11/08/2021,Bottom,Summer,M,11028.82943,NA,9.502904211,NA,7.427888851,NA,17.22457,15.75227,7.035086,0.7
45,RH2,24/08/2021,Bottom,Summer,M,3943.2037,NA,11.37927727,NA,1.073615302,NA,16.79176,14.22093,8.733084,2.69
46,RH2,24/08/2021,Surface,Summer,M,1156.693676,693.4758717,8.130973118,5.816765862,0.249699146,-0.009899415,16.79176,14.22093,8.733084,2.69
47,RH2,08/09/2021,Bottom,Autumn,M,5162.993931,NA,5.002821533,NA,4.382370506,NA,15.55841,13.84996,10.87066,4.26
48,RH2,08/09/2021,Surface,Autumn,M,556.1890821,234.4684397,6.10202488,4.314875188,0.348763845,0.035248356,15.55841,13.84996,10.87066,4.26
49,RH2,20/09/2021,Surface,Autumn,M,1884.029736,999.5734379,22.82018494,13.67506524,0.391212626,0.042604723,13.19745,13.39178,7.464184,1.1
50,RH2,20/09/2021,Bottom,Autumn,M,11236.96925,NA,7.36423431,NA,22.70909551,NA,13.19745,13.39178,7.464184,1.1
51,RH2,07/10/2021,Bottom,Autumn,M,5373.118398,NA,11.03935437,NA,5.427304953,NA,11.15035,11.60145,8.853816,1.5
52,RH2,07/10/2021,Surface,Autumn,M,1568.725067,774.0594808,14.21012921,8.453736726,0.457106386,0.057978784,11.15035,11.60145,8.853816,1.5
53,RH2,21/10/2021,Bottom,Autumn,M,10371.32253,NA,1.56194086,NA,17.96103939,NA,10.58141,9.692971,11.2893,0.4
54,RH2,21/10/2021,Surface,Autumn,M,587.5492042,275.690921,2.449332605,2.023926312,0.304072828,-0.035122625,10.58141,9.692971,11.2893,0.4
55,RH2,04/11/2021,Surface,Autumn,M,814.259486,282.246865,3.636440726,1.943579542,0.496151521,0.057486688,6.960154,7.600199,11.84129,1.49
56,RH2,04/11/2021,Bottom,Autumn,M,9904.912593,NA,1.999809866,NA,13.78331289,NA,6.960154,7.600199,11.84129,1.49
57,RH3,27/04/2021,Bottom,Spring,L,749.6142734,NA,14.16122006,NA,0.44036495,NA,8.350742,7.997828,11.43017,10.83
58,RH3,27/04/2021,Surface,Spring,L,531.68081,114.0429987,12.06195233,6.760877833,0.439473833,-0.07038461,8.350742,7.997828,11.43017,10.83
59,RH3,03/05/2021,Surface,Spring,L,459.4531426,214.0438631,17.10725714,13.65845679,0.203569762,-0.057907171,11.66394,9.241028,11.89993,5.91
60,RH3,03/05/2021,Bottom,Spring,L,1345.967006,NA,18.46859578,NA,0.153919012,NA,11.66394,9.241028,11.89993,5.91
